date,phu_name,phu_num,outbreak_group,number_ongoing_outbreaks
11/1/2020,BRANT COUNTY,2227,4 Workplace,1
11/1/2020,BRANT COUNTY,2227,1 Congregate Care,2
11/1/2020,CHATHAM-KENT,2240,5 Recreational,1
11/1/2020,CHATHAM-KENT,2240,6 Other/Unknown,1
11/1/2020,CHATHAM-KENT,2240,4 Workplace,1
11/1/2020,CITY OF HAMILTON,2237,3 Education,1
11/1/2020,CITY OF HAMILTON,2237,5 Recreational,1
11/1/2020,CITY OF HAMILTON,2237,6 Other/Unknown,1
11/1/2020,CITY OF HAMILTON,2237,4 Workplace,2
11/1/2020,CITY OF HAMILTON,2237,1 Congregate Care,5
11/1/2020,CITY OF OTTAWA,2251,4 Workplace,3
11/1/2020,CITY OF OTTAWA,2251,2 Congregate Living,7
11/1/2020,CITY OF OTTAWA,2251,6 Other/Unknown,2
11/1/2020,CITY OF OTTAWA,2251,3 Education,6
11/1/2020,CITY OF OTTAWA,2251,1 Congregate Care,29
11/1/2020,DURHAM REGION,2230,1 Congregate Care,3
11/1/2020,DURHAM REGION,2230,4 Workplace,1
11/1/2020,DURHAM REGION,2230,6 Other/Unknown,1
11/1/2020,DURHAM REGION,2230,2 Congregate Living,1
11/1/2020,DURHAM REGION,2230,3 Education,2
11/1/2020,EASTERN ONTARIO,2258,3 Education,1
11/1/2020,EASTERN ONTARIO,2258,1 Congregate Care,4
11/1/2020,GREY BRUCE,2233,1 Congregate Care,1
11/1/2020,HALDIMAND-NORFOLK,2234,4 Workplace,1
11/1/2020,HALDIMAND-NORFOLK,2234,1 Congregate Care,1
11/1/2020,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,1 Congregate Care,1
11/1/2020,HALTON REGION,2236,6 Other/Unknown,2
11/1/2020,HALTON REGION,2236,5 Recreational,1
11/1/2020,HALTON REGION,2236,4 Workplace,1
11/1/2020,HALTON REGION,2236,2 Congregate Living,3
11/1/2020,HALTON REGION,2236,1 Congregate Care,5
11/1/2020,HASTINGS & PRINCE EDWARD COUNTIES,2238,4 Workplace,1
11/1/2020,HURON PERTH,5183,4 Workplace,1
11/1/2020,HURON PERTH,5183,1 Congregate Care,2
11/1/2020,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,1 Congregate Care,1
11/1/2020,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3 Education,1
11/1/2020,LAMBTON COUNTY,2242,4 Workplace,1
11/1/2020,LAMBTON COUNTY,2242,1 Congregate Care,1
11/1/2020,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,1 Congregate Care,1
11/1/2020,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,4 Workplace,1
11/1/2020,MIDDLESEX-LONDON,2244,6 Other/Unknown,3
11/1/2020,MIDDLESEX-LONDON,2244,5 Recreational,1
11/1/2020,MIDDLESEX-LONDON,2244,4 Workplace,2
11/1/2020,MIDDLESEX-LONDON,2244,1 Congregate Care,9
11/1/2020,MIDDLESEX-LONDON,2244,3 Education,2
11/1/2020,NIAGARA REGION,2246,1 Congregate Care,4
11/1/2020,NIAGARA REGION,2246,6 Other/Unknown,1
11/1/2020,NIAGARA REGION,2246,4 Workplace,1
11/1/2020,NIAGARA REGION,2246,3 Education,2
11/1/2020,NORTHWESTERN,2249,3 Education,1
11/1/2020,NORTHWESTERN,2249,1 Congregate Care,1
11/1/2020,PEEL REGION,2253,6 Other/Unknown,9
11/1/2020,PEEL REGION,2253,5 Recreational,6
11/1/2020,PEEL REGION,2253,4 Workplace,67
11/1/2020,PEEL REGION,2253,3 Education,28
11/1/2020,PEEL REGION,2253,2 Congregate Living,9
11/1/2020,PEEL REGION,2253,1 Congregate Care,9
11/1/2020,PORCUPINE,2256,4 Workplace,1
11/1/2020,RENFREW COUNTY AND DISTRICT,2257,4 Workplace,1
11/1/2020,RENFREW COUNTY AND DISTRICT,2257,1 Congregate Care,5
11/1/2020,SIMCOE MUSKOKA DISTRICT,2260,3 Education,2
11/1/2020,SIMCOE MUSKOKA DISTRICT,2260,2 Congregate Living,1
11/1/2020,SIMCOE MUSKOKA DISTRICT,2260,1 Congregate Care,3
11/1/2020,SIMCOE MUSKOKA DISTRICT,2260,4 Workplace,2
11/1/2020,SUDBURY AND DISTRICT,2261,6 Other/Unknown,1
11/1/2020,SUDBURY AND DISTRICT,2261,3 Education,1
11/1/2020,TORONTO,3895,6 Other/Unknown,1
11/1/2020,TORONTO,3895,5 Recreational,5
11/1/2020,TORONTO,3895,4 Workplace,17
11/1/2020,TORONTO,3895,3 Education,19
